Gene,n_en_student_p_value,en_c_student_p_value,n_en_permutation_p_value,en_c_permutation_p_value
PADI4,0.5162852089227792,0.5739795382379673,0.5247,0.5812
RCC2,0.5490368968944068,0.08121711176130267,0.5589,0.0739
ARHGEF10L,0.511339580350666,0.8284652930144989,0.5108,0.8301
ACTL8,0.34796260941777546,0.10232436805195373,0.3514,0.0789
IGSF21,0.11642370093270074,0.9049699394956022,0.1211,0.9069
KLHDC7A,2.5425145092513943e-05,0.37872585056419694,0.0003,0.3724
PAX7,0.28132605736321453,0.04137971907073115,0.3291,0.0251
ALDH4A1,0.00012902140411050946,0.02055312913393124,0.0001,0.0211
IFFO2,0.4717845889725123,0.007660886658911365,0.4692,0.0079
UBR4,0.7214737265377053,0.9167100676147042,0.7236,0.9099
KIAA0090,0.7984289874206877,0.3397020801417756,0.8034,0.3452
MRTO4,0.13293872657791436,0.7173019831589056,0.13,0.7206
AKR7L,0.8087399911676598,0.8243904574147657,0.8111,0.8242
AKR7A3,0.0009144952166724248,0.9177974144091299,0.0012,0.9133
LOC100506730,0.2501469802463525,0.18444418999167386,0.2397,0.1831
AKR7A2,0.6541129130697451,0.8427845183356371,0.659,0.844
PQLC2,0.022395766079743838,0.5243399020450767,0.0224,0.5327
CAPZB,0.6825022861140387,0.0043376819807314825,0.6828,0.0045
C1orf151,0.5449846723106855,0.5136826240501564,0.5439,0.5076
NBL1,0.6657993976404841,0.06883892404362414,0.6605,0.0637
TMCO4,0.3524025815439106,0.3333719633107538,0.3557,0.3315
RNF186,0.0495394449871875,0.002424359187258989,0.0498,0.0011
OTUD3,0.8734056899313573,0.04299677430811332,0.8774,0.0443
PLA2G2A,0.40500732099445547,0.20948679592310637,0.4033,0.1996
PLA2G5,0.008056741468461817,0.5729030936090689,0.0067,0.575
PLA2G2D,0.538042103623392,0.05076045874298478,0.5574,0.0443
UBXN10,0.31490640901040673,0.25068584783750175,0.309,0.2447
CAMK2N1,0.06074318686158105,0.7800734303032213,0.0602,0.7822
MUL1,0.8895558865417305,0.33689272698994643,0.8948,0.3632
FAM43B,0.036416420842049955,0.10838347793446827,0.0341,0.1126
CDA,0.8300011533587462,0.05620143085212366,0.8283,0.049
PINK1,0.41847022264029554,0.8945786655480018,0.4267,0.8993
DDOST,0.2009625414162583,0.03482124580763483,0.1978,0.035
KIF17,0.7839863046692681,0.7171776718438853,0.7814,0.7172
HP1BP3,0.776326119555754,0.5127096169962367,0.77,0.4989
